username,full_name,follows_you,you_follow,followers,following,posts,has_profile_pic,is_verified,risk_score,risk_reasons,inactive,tag,recommended_action
nick.67311,"",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
rzqy5942,"علی رزقی",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
gau17701,"",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
vivio6198,"",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
saplakee2023,"",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
qwertyuiop12345667889990000,"king",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
sjsj25252024,"",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
fazian1960,"",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
pk57614,"",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
annurani70884,"Annurani7088",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
er82704,"",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
too88661,"",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
masoomaali7800,"masooma",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
fatih7584,"Fatih AYDIN",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
hfnd2023,"Hfnd",yes,no,0,0,0,no,no,7,"no posts; only 0 followers; suspicious username pattern; no profile picture; no bio",yes,spam,REVIEW
jimgo2827,"Jim Godfrey",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
adawgraider89205,"Aaron Botizan",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
pawanbhai15633,"Lakhimpur khiri",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
aimeelee1983,"Aimee Lee Lankford",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
johnbuttram1956,"john buttram",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
markwhite0811,"Mark White",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
dannywise9783,"Danny Wise",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
madipurdue2005,"Madi Purdue",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
travelwithterra2023,"Terra Black",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
cedixson1111,"Carlo🔹",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
sparklez1177,"karen compton",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
allanryrie,"Allan Ryrie",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
preeti_kumari_8955,"Егор Крид💰",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
ayatullha.1989,"",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
hussnain_hassan05,"Hussain Hassan",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
liger__pro_7,"Deepu Deepu",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
sixthjuf,"",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
risann55,"risann",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
boos22944,"boos_mgr",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
sksjgsbsjansh,"",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
mith.uaaratip,"",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
luvz.nae,"ells",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
new_id_dil_143,"",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
rhgnftd,"",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
samboxer199,"samboxer",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
mrbeast_global1,"MR BEAST GLOBAL",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
hexiin2,"",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
takipvikasma0,"",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
vitorianunes5122,"Jzuxheiwokskxd",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
gggkbsuv,"",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
emd_khan39,"Emd Khan",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
joker_ms99,"JOKER",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
selda_nnhvrnn51,"Monish Khan",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
ugdlrsr192_,"Marion",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
