day,username,risk_score,risk_reasons,follows_you
Day 1,lisatayloryoga,5,"no posts; only 0 followers; no bio",no
Day 1,thewizeai,5,"no posts; only 0 followers; no bio",no
Day 1,kylewhitrow,5,"no posts; only 0 followers; no bio",no
Day 1,cathie_lee_pearson,5,"no posts; only 0 followers; no bio",no
Day 1,grahammnash,5,"no posts; only 0 followers; no bio",no
Day 1,rockinkickzz,5,"no posts; only 0 followers; no bio",no
Day 1,nashbrothersinc,5,"no posts; only 0 followers; no bio",no
Day 1,tremy12,5,"no posts; only 0 followers; no bio",no
Day 1,captainkurtzwashere,5,"no posts; only 0 followers; no bio",no
Day 1,virtualtalkingmachine,5,"no posts; only 0 followers; no bio",no
