username,full_name,follows_you,you_follow,followers,following,posts,has_profile_pic,is_verified,risk_score,risk_reasons,inactive,tag,recommended_action
lisatayloryoga,"Lisa Taylor",no,yes,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REMOVE
thewizeai,"Artificial Intelligence l Business",no,yes,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REMOVE
kylewhitrow,"Kyle Whitrow | Claude Code | Vibe Marketing",no,yes,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REMOVE
cathie_lee_pearson,"Cathie Lee Pearson",no,yes,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REMOVE
grahammnash,"Graham Nash",no,yes,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REMOVE
rockinkickzz,"RockinKickz",no,yes,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REMOVE
nashbrothersinc,"Graham Nash",no,yes,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REMOVE
tremy12,"Trevor Remy",no,yes,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REMOVE
captainkurtzwashere,"Chris Kurtz",no,yes,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REMOVE
virtualtalkingmachine,"Virtual Talking Machine Co.",no,yes,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REMOVE
